"","Map.X","Map.Y","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","NA"
"123",905000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124",913000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125",921000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126",929000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127",937000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128",945000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129",953000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130",961000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131",969000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132",977000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133",985000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134",993000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135",1001000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136",1009000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137",1017000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138",1025000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139",1033000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140",1041000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141",1049000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142",1057000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143",-63000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144",-55000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145",-47000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146",-39000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
