"","Map.X","Map.Y","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","NA"
"191",321000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"192",329000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"193",337000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"194",345000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"195",353000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"196",361000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"197",369000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"198",377000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"199",385000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"200",393000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"201",401000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"202",409000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"203",417000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"204",425000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"205",433000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"206",441000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"207",449000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"208",457000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"209",465000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"210",473000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"211",481000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"212",489000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"213",497000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"214",505000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"215",513000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"216",521000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"217",529000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"218",537000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"219",545000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"220",553000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"221",561000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"222",569000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"223",577000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"224",585000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"225",593000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"226",601000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"227",609000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"228",617000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"229",625000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"230",633000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"231",641000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"232",649000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"233",657000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"234",665000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"235",673000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"236",681000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"237",689000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"238",697000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"239",705000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"240",713000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"241",721000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"242",729000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"243",737000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"244",745000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"245",753000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"246",761000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"247",769000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"248",777000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"249",785000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"250",793000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"251",801000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"252",809000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"253",817000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"254",825000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"255",833000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"256",841000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"257",849000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"258",857000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"259",865000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"260",873000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"261",881000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"262",889000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"263",897000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"264",905000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"265",913000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"266",921000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"267",929000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"268",937000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"269",945000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"270",953000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"271",961000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"272",969000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"273",977000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"274",985000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"275",993000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"276",1001000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"277",1009000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"278",1017000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"279",1025000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"280",1033000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"281",1041000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"282",1049000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"283",1057000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"284",-63000,1474000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"285",-55000,1474000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"286",-47000,1474000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"287",-39000,1474000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"288",-31000,1474000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"289",-23000,1474000,-6.84350838095764,-10.3678941577518,-6.87100881724868,-0.309812101109894,-0.455661382914946,-0.362669696509362,-2.49314177015995,-1.4641237859278,-1.98570151010317,-1.45181999729325,-4.16284842522497,-5.22295236136628
