"","c.alb.jan","c.alb.feb","c.alb.mar","c.alb.apr","c.alb.may","c.alb.jun","c.alb.jul","c.alb.aug","c.alb.sep","c.alb.oct","c.alb.nov","c.alb.dec"
"3302",-0.3846375,-0.41637,-0.236245,-0.08019,-0.05969975,-0.041205,-0.052105,-0.053875,-0.059675,-0.07257,-0.1581475,-0.3697575
"3308",-0.17568,-0.18647,-0.1309625,-0.06067,-0.04879175,-0.03935,-0.0368025,-0.03677,-0.03402,-0.0440033333333333,-0.071225,-0.1340125
"3310",-0.385225,-0.4225125,-0.22934,-0.0875666666666667,-0.0610325,-0.041305,-0.051775,-0.05345,-0.060105,-0.07432,-0.16188,-0.368385
"3311",-0.1759275,-0.18651,-0.1252175,-0.0579466666666667,-0.0488985,-0.0394775,-0.0369725,-0.03676,-0.0340425,-0.04402,-0.071845,-0.129425
"3393",-2.50000000004413e-06,-2.49999999998862e-06,0,0,0,0,0,0,0,0,0,-2.49999999998862e-06
"3399",-7.49999999999362e-06,2.50000000001638e-06,0,0,0,0,0,0,0,0,0,2.50000000001638e-06
"3405",0.18057,0.185245,0.12905,0.0424866666666667,0.0466455,0.03339,0.0280475,0.036285,0.034605,0.046,0.08105,0.14694
"3429",-2.5000000000025e-06,0,-2.5000000000025e-06,0,0,0,0,0,0,0,0,0
"3446",-0.3841525,-0.418145,-0.23938,-0.0837933333333333,-0.060158,-0.0408375,-0.0515775,-0.053485,-0.0596925,-0.0732933333333333,-0.15494,-0.3688725
"3448",-0.1748625,-0.1860975,-0.129695,-0.06301,-0.048611,-0.0388275,-0.036375,-0.0365175,-0.033815,-0.0439966666666667,-0.0689175,-0.12904
