"","Lat","Lon","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"152",49.1417142,-96.8941625,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"153",49.15382161,-96.78608624,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"154",49.16583376,-96.67796054,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"155",49.17775061,-96.56978576,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"156",49.18957208,-96.46156225,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"157",49.20129809,-96.35329039,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"158",49.2129286,-96.24497052,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"159",49.22446352,-96.13660302,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"160",49.2359028,-96.02818823,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"161",49.24724637,-95.91972654,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"162",49.25849416,-95.81121829,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"163",49.26964612,-95.70266386,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"164",49.28070216,-95.59406361,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"165",49.29166225,-95.48541792,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"166",49.3025263,-95.37672715,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"167",49.31329426,-95.26799166,6.10097847556169,8.9965488634398,11.2623505383098,4.74879420118675,6.06439764677782,6.30427961804575,6.03042944015555,5.39317299432157,3.74293797498026,2.58263655216077,2.09070474486328,2.76963092230504
"168",49.32396606,-95.15921184,1.19546143321973,1.03739372279817,3.31229940628196,2.3441975265173,4.04374598406446,6.20677267836528,5.18440161098455,4.30660678454913,2.77536420365582,1.26802282330902,0.286213309688799,0.453578095500758
"169",49.33454165,-95.05038805,1.30917544510085,1.059983294848,3.3985326664418,2.45931119711317,4.05158661672878,6.21519054366143,5.20088024068067,4.31466736474032,2.77876687454217,1.27078669058698,0.363678209024174,0.459258176007942
"170",49.34502097,-94.94152066,0.968284433766268,0.968617828277011,-0.23043329615158,2.10260093390866,4.05972881218788,6.22430989773227,5.21885692762188,4.32434006096975,2.77998211414443,1.27651184423418,-0.0927205687887313,-0.638062376973672
"171",49.35540394,-94.83261005,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"172",49.36569052,-94.72365659,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"173",49.37588064,-94.61466066,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"174",49.38597425,-94.50562264,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"175",49.39597128,-94.39654289,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"176",49.40587168,-94.28742181,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"177",49.41567539,-94.17825976,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"178",49.42538236,-94.06905713,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"179",49.43499252,-93.9598143,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"180",49.44450582,-93.85053165,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"181",49.45392221,-93.74120956,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"182",49.46324163,-93.63184842,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"183",49.47246402,-93.52244861,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"184",49.48158934,-93.41301051,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"185",49.49061753,-93.30353451,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"186",49.49954853,-93.194021,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"187",49.50838229,-93.08447037,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"188",49.51711877,-92.974883,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"189",49.52575791,-92.86525928,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"190",49.53429965,-92.75559961,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"191",49.54274396,-92.64590436,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"192",49.55109078,-92.53617395,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"193",49.55934005,-92.42640875,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"194",49.56749174,-92.31660916,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
